st	year	percentsmokers	tobaccolobby	healthorgslobby	production	govideolbrfh	yadatecensus	restcensus	wp_publiccensus	govbuildings	restaurants	outofpackage	neigovbuildings	neirestaurant	neioutofpackage	dvgovbuild	dvrest	dvoutpack	toblobbyratio	healthlobbyratio	ugovdem	ugovrep	psphealth	proddum	synar1	yacens_healthorgslobby	gbcens_healthorgslobby	restcens_healthorgslobby	rslsal	rslsalgbl	rslsalrestl	rslsalyal	profess	professgbl	professrl	professyal	policynum	pooleddv	poolednei	pooledcensus	pooledlocalrslsal	pooledlocalhealth	styr	pooledlocalprof	synar1ya	state
12	1984	24.7	0	2	0	23.67	0.0	0.0	0.0	0	0	0	0.6666667	0.5	0.0	0.0	0.0	0.0	0.014285714	0.11785714	0.0	0.0	0.03314053	0.0	0.0	0.0	0.0	0.0	6.959399	0.0	0.0	0.0	0.119	0.0	0.0	0.0	2	0.0	0.5	0.0	0.0	0.0	121984.0	0.0	0.0	"ID"
13	1984	33.7	0	0	0	47.04	0.009787521	0.011019515	0.0	0	0	0	0.4	0.2	0.0	0.0	0.0	0.0	0.0023685456	0.06631928	0.0	0.0	0.027726874	0.0	0.0	0.0	0.0	0.0	46.396	0.0	0.5112614	0.45410183	0.302	0.0	0.0033278933	0.0029558314	2	0.0	0.2	0.011019515	0.5112614	0.0	131984.0	0.0033278933	0.0	"IL"
14	1984	25.8	0	2	0.009396000000000002	13.36	0.0	0.009592532	0.009592532	0	0	0	0.25	0.25	0.0	0.0	0.0	0.0	0.02	0.052	0.0	1.0	0.026699826	1.0	0.0	0.0	0.019185064	0.019185064	15.9072	0.15259032	0.15259032	0.0	0.139	0.001333362	0.001333362	0.0	2	0.0	0.25	0.009592532	0.15259032	0.019185064	141984.0	0.001333362	0.0	"IN"
15	1984	22.6	0	0	0	38.2	0.0	0.017332876	0.0	1	0	0	0.5	0.5	0.0		0.0	0.0	0.009966778	0.09800664	0.0	0.0	0.0126426695	0.0	0.0	0.0	0.0	0.0	22.7009	0.0	0.39347187	0.0	0.225	0.0	0.003899897	0.0	2	0.0	0.5	0.017332876	0.39347187	0.0	151984.0	0.003899897	0.0	"IA"
16	1984	23.0	0	0	0	33.98	0.0	0.050207276	0.050207276	0	0	0	0.25	0.25	0.0	0.0	0.0	0.0	0.011363637	0.06818182	0.0	0.0	0.017434286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.007631506	0.007631506	0.0	2	0.0	0.25	0.050207276	0.0	0.0	161984.0	0.007631506	0.0	"KS"
17	1984	29.5	0	2	0.265044	68.08	0.0	0.0	0.0	0	0	0	0.14285715	0.0	0.0	0.0	0.0	0.0	0.010920437	0.054602183	1.0	0.0	0.025923526	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	171984.0	0.0	0.0	"KY"
18	1984	25.6	0	0	0	38.19	0.0	0.0	0.0	0	0	0	0.0	0.0	0.33333334	0.0	0.0	0.0	0.0123893805	0.028318584	1.0	0.0	0.024179285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	181984.0	0.0	0.0	"LA"
19	1984	27.9	0	2	0	81.5	0.0	0.0	0.0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.036	0.056	1.0	0.0	0.028107708	0.0	0.0	0.0	0.0	0.0	10.770499	0.0	0.0	0.0	0.161	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	191984.0	0.0	0.0	"ME"
20	1984	25.0	0	0	0.015179999999999999	73.88	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01632653	0.10612245	1.0	0.0	0.03516279	1.0	0.0	0.0	0.0	0.0	34.796997	0.0	0.0	0.0	0.204	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	201984.0	0.0	0.0	"MD"
21	1984	27.9	0	2	0.0003925	83.82	0.028062401	0.039699495	0.039699495	0	0	0	0.4	0.4	0.0	0.0	0.0	0.0	0.012567325	0.1005386	1.0	0.0	0.044610586	1.0	0.0	0.056124803	0.07939899	0.07939899	49.71	1.9734619	1.9734619	1.394982	0.614	0.02437549	0.02437549	0.017230315	2	0.0	0.4	0.039699495	1.9734619	0.07939899	211984.0	0.02437549	0.0	"MA"
22	1984	26.8	0	1	0	72.98	0.009788383	0.0	0.0	0	1	0	0.6666667	0.33333334	0.0	0.0		0.0	0.01375	0.29375	1.0	0.0	0.060675744	0.0	0.0	0.009788383	0.0	0.0	55.012398	0.0	0.0	0.5384824	0.653	0.0	0.0	0.006391814	2		0.33333334	0.0	0.0	0.0	221984.0	0.0	0.0	"MI"
23	1984	28.3	0	0	0	80.07	0.04384421	0.0	0.0	1	1	0	0.75	0.5	0.0			0.0	0.01846381	0.046528805	1.0	0.0	0.015378011	0.0	0.0	0.0	0.0	0.0	30.6545	0.0	0.0	1.3440224	0.199	0.0	0.0	0.008724998	2		0.5	0.0	0.0	0.0	231984.0	0.0	0.0	"MN"
24	1984	24.8	0	0	0	40.25	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.015686275	0.07058824	1.0	0.0	0.031516645	0.0	0.0	0.0	0.0	0.0	13.4217005	0.0	0.0	0.0	0.16	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	241984.0	0.0	0.0	"MS"
25	1984	25.7	0	2	0.002922	44.95	0.003193004	0.0	0.0	0	0	0	0.25	0.125	0.0	0.0	0.0	0.0	0.006422925	0.0993083	0.0	0.0	0.029994868	1.0	0.0	0.006386008	0.0	0.0	24.855	0.0	0.0	0.07936212	0.297	0.0	0.0	9.483222E-4	2	0.0	0.125	0.0	0.0	0.0	251984.0	0.0	0.0	"MO"
26	1984	28.9	0	1	0	62.56	0.0	0.0	0.0	1	1	0	0.25	0.25	0.0			0.0	0.012135922	0.053398058	0.0	0.0	0.039187293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	2		0.25	0.0	0.0	0.0	261984.0	0.0	0.0	"MT"
27	1984	24.5	0	0	0	28.05	0.0	0.0	0.0	1	1	0	0.16666667	0.0	0.0			0.0	0.015957447	0.10372341			0.037549265	0.0	0.0	0.0	0.0	0.0	7.9536	0.0	0.0	0.0	0.186	0.0	0.0	0.0	2		0.0	0.0	0.0	0.0	271984.0	0.0	0.0	"NE"
28	1984	30.6	0	1	0	83.12	0.0	0.0	0.0	1	0	0	0.6	0.4	0.0		0.0	0.0	0.011764706	0.05210084	1.0	0.0	0.025621837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	2	0.0	0.4	0.0	0.0	0.0	281984.0	0.0	0.0	"NV"
29	1984	27.2	0	1	0	14.07	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0		0.0	0.0	0.021052632	0.1	0.0	1.0	0.05351332	0.0	0.0	0.0	0.0	0.0	0.1657	0.0	0.0	0.0	0.042	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	291984.0	0.0	0.0	"NH"
30	1984	22.5	0	0	0	58.43	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222223	0.24444444	0.0	0.0	0.020679384	0.0	0.0	0.0	0.0	0.0	41.425	0.0	0.0	0.0	0.255	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	301984.0	0.0	0.0	"NJ"
31	1984	26.7	0	1	0	90.23	0.0	0.0	0.0	0	0	0	0.2	0.2	0.2	0.0	0.0	0.0	0.0027347312	0.029170465	1.0	0.0	0.03379498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.0	0.0	2	0.0	0.2	0.0	0.0	0.0	311984.0	0.0	0.0	"NM"
32	1984	32.0	2	2	0	71.59	0.020382162	0.0	0.020382162	0	0	0	0.2	0.2	0.0	0.0	0.0	0.0	0.004854369	0.040453073	0.0	0.0	0.030708639	0.0	0.0	0.040764324	0.040764324	0.0	54.681	1.114517	0.0	1.114517	0.659	0.013431844	0.0	0.013431844	2	0.0	0.2	0.0	0.0	0.0	321984.0	0.0	0.0	"NY"
33	1984	29.2	2	1	0.29501299999999997	53.28	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.025390625	0.08984375	1.0	0.0	0.034584913	1.0	0.0	0.0	0.0	0.0	11.4333	0.0	0.0	0.0	0.203	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	331984.0	0.0	0.0	"NC"
34	1984	25.5	0	0	0	62.62	0.0	0.0	0.0	1	1	0	0.6666667	0.6666667	0.0			0.0	0.024390243	0.05986696	0.0	0.0	0.0209437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	2		0.6666667	0.0	0.0	0.0	341984.0	0.0	0.0	"ND"
35	1984	29.9	0	2	0.013253500000000001	72.64	0.0	0.05314151	0.05314151	1	0	0	0.0	0.2	0.0		0.0	0.0	0.008994277	0.08830744	1.0	0.0	0.026676275	1.0	0.0	0.0	0.10628302	0.10628302	37.282497	1.9812481	1.9812481	0.0	0.329	0.017483557	0.017483557	0.0	2	0.0	0.2	0.05314151	1.9812481	0.10628302	351984.0	0.017483557	0.0	"OH"
36	1984	25.2	0	2	0	37.58	0.0	0.0	0.0	0	0	0	0.0	0.0	0.16666667	0.0	0.0	0.0	0.010224949	0.073619634	1.0	0.0	0.026186671	0.0	0.0	0.0	0.0	0.0	33.14	0.0	0.0	0.0	0.25	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	361984.0	0.0	0.0	"OK"
37	1984	23.6	0	2	0	56.15	0.0	0.04013065	0.04013065	1	1	0	0.5	0.0	0.0			0.0	0.012	0.048	0.0	0.0	0.024509676	0.0	0.0	0.0	0.0802613	0.0802613	13.918798	0.5585704	0.5585704	0.0	0.183	0.007343909	0.007343909	0.0	2		0.0	0.04013065	0.5585704	0.0802613	371984.0	0.007343909	0.0	"OR"
38	1984	27.5	0	2	0.011185	42.73	0.0	0.0	0.0	0	0	0	0.16666667	0.0	0.0	0.0	0.0	0.0	0.023809524	0.2767857	0.0	0.0	0.026425574	1.0	0.0	0.0	0.0	0.0	57.995	0.0	0.0	0.0	0.336	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	381984.0	0.0	0.0	"PA"
39	1984	31.7	0	1	0	79.64	0.0	0.0	0.0	0	1	0	0.5	0.5	0.0	0.0		0.0	0.024390243	0.039634146	1.0	0.0	0.03438463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.0	0.0	0.0	2		0.5	0.0	0.0	0.0	391984.0	0.0	0.0	"RI"
40	1984	26.6	0	2	0.0527575	51.5	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.027190333	0.09667674	1.0	0.0	0.051518925	1.0	0.0	0.0	0.0	0.0	16.57	0.0	0.0	0.0	0.178	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	401984.0	0.0	0.0	"SC"
41	1984	25.7	0	0	0	31.0	0.0	0.0	0.1177178	0	0	0	0.8333333	0.6666667	0.0	0.0	0.0	0.0	0.01179941	0.06784661	0.0	1.0	0.02450968	0.0	0.0	0.0	0.0	0.0	4.6396	0.5461635	0.0	0.0	0.083	0.009770577	0.0	0.0	2	0.0	0.6666667	0.0	0.0	0.0	411984.0	0.0	0.0	"SD"
42	1984	25.9	0	1	0.07732299999999999	44.83	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.023655914	0.14838709	0.0	0.0	0.03854115	1.0	0.0	0.0	0.0	0.0	13.753099	0.0	0.0	0.0	0.135	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	421984.0	0.0	0.0	"TN"
43	1984	23.3	0	0	0	55.8	0.0	0.007726685	0.007726685	0	0	1	0.0	0.0	0.0	0.0	0.0		0.003613836	0.048528653	1.0	0.0	0.022397341	0.0	0.0	0.0	0.0	0.0	11.930399	0.092182435	0.092182435	0.0	0.21	0.0016226039	0.0016226039	0.0	2	0.0	0.0	0.007726685	0.092182435	0.0	431984.0	0.0016226039	0.0	"TX"
44	1984	16.1	0	1	0	37.89	0.0	0.0	0.0	1	1	0	0.16666667	0.0	0.0			0.0	0.02862254	0.04830054	0.0	0.0	0.029392164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.0	0.0	2		0.0	0.0	0.0	0.0	441984.0	0.0	0.0	"UT"
45	1984	21.9	0	1	0	46.25	0.0	0.0	0.0	0	0	0	0.33333334	0.0	0.0	0.0	0.0	0.0	0.04416404	0.100946374	0.0	1.0	0.03900913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	451984.0	0.0	0.0	"VT"
46	1984	25.2	0	2	0.0579485	44.88	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.009202454	0.043711655	1.0	0.0	0.0305826	1.0	0.0	0.0	0.0	0.0	18.227	0.0	0.0	0.0	0.17	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	461984.0	0.0	0.0	"VA"
47	1984	24.7	1	0	0	47.19	0.0	0.11951742	0.11951742	0	0	0	0.5	0.5	0.0	0.0	0.0	0.0	0.0061898213	0.030949106	0.0	0.0	0.029471047	0.0	0.0	0.0	0.0	0.0	22.8666	2.7329571	2.7329571	0.0	0.23	0.027489008	0.027489008	0.0	2	0.0	0.5	0.11951742	2.7329571	0.0	471984.0	0.027489008	0.0	"WA"
48	1984	33.6	0	1	0.0022440000000000003	75.42	0.0	0.0	0.0	0	0	0	0.2	0.0	0.0	0.0	0.0	0.0	0.01	0.086	1.0	0.0	0.03131777	1.0	0.0	0.0	0.0	0.0	8.4507	0.0	0.0	0.0	0.125	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	481984.0	0.0	0.0	"WV"
49	1984	27.8	1	1	0.008199999999999999	75.13	0.018216107	0.04720038	0.048773695	1	1	0	0.5	0.5	0.0			0.0	0.019543974	0.1009772	1.0	0.0	0.03139432	1.0	0.0	0.018216107	0.048773695	0.04720038	37.4482	1.8264871	1.7675693	0.68216044	0.27	0.013168898	0.012744104	0.004918349	2		0.5	0.04720038	1.7675693	0.04720038	491984.0	0.012744104	0.0	"WI"
50	1984	21.3	0	0	0	39.22	0.0	0.0	0.0	0	0	0	0.5	0.5	0.0	0.0	0.0	0.0	0.010542168	0.013554217	0.0	0.0	0.021973336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	2	0.0	0.5	0.0	0.0	0.0	501984.0	0.0	0.0	"WY"
1	1985	25.4	0	0	0	38.42	0.0	0.0	0.0	0	0	0	0.25	0.0	0.0	0.0	0.0	0.0	0.018691588	0.07788162	1.0	0.0	0.03119514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	11985.0	0.0	0.0	"AL"
2	1985	26.9	0	0	0	51.86	0.0	0.41152364	0.41152364	1	1	0						0.0	0.011764706	0.043137256	0.0	0.0	0.04139134	0.0	0.0	0.0	0.0	0.0	74.88	30.81489	30.81489	0.0	0.311	0.12798385	0.12798385	0.0	2			0.41152364	30.81489	0.0	21985.0	0.12798385	0.0	"AK"
3	1985	27.0	0	1	0	36.88	0.0	0.11381692	0.11381692	0	0	0	0.6	0.2	0.0	0.0	0.0	0.0	0.0076923077	0.066923074	0.0	0.0	0.022962026	0.0	0.0	0.0	0.11381692	0.11381692	24.0	2.731606	2.731606	0.0	0.25	0.02845423	0.02845423	0.0	2	0.0	0.2	0.11381692	2.731606	0.11381692	31985.0	0.02845423	0.0	"AZ"
4	1985	26.8	0	0	0	66.6	0.0	0.07532369	0.026728202	0	0	0	0.0	0.0	0.16666667	0.0	0.0	0.0	0.0073260074	0.04761905	1.0	0.0	0.032614164	0.0	0.0	0.0	0.0	0.0	12.0	0.32073843	0.9038843	0.0	0.105	0.0028064612	0.007908988	0.0	2	0.0	0.0	0.07532369	0.9038843	0.0	41985.0	0.007908988	0.0	"AR"
5	1985	26.3	1	1	0	47.73	0.001319748	0.26399913	0.26968455	1	0	0	0.6666667	0.33333334	0.0		0.0	0.0	0.01635514	0.069314644	0.0	0.0	0.03884427	0.0	0.0	0.001319748	0.26968455	0.26399913	53.920002	14.541391	14.234834	0.071160816	0.625	0.16855285	0.16499946	8.248425E-4	2	0.0	0.33333334	0.26399913	14.234834	0.26399913	51985.0	0.16499946	0.0	"CA"
6	1985	21.9	0	1	0	45.13	0.0	0.045351546	0.045351546	0	0	0	0.2857143	0.2857143	0.0	0.0	0.0	0.0	0.035230353	0.11111111	0.0	0.0	0.027672773	0.0	0.0	0.0	0.045351546	0.045351546	28.0	1.2698433	1.2698433	0.0	0.3	0.013605464	0.013605464	0.0	2	0.0	0.2857143	0.045351546	1.2698433	0.045351546	61985.0	0.013605464	0.0	"CO"
7	1985	26.7	0	2	0.0016575	71.42	0.0	0.0	0.0	1	1	0	0.0	0.33333334	0.0			0.0	0.017405063	0.16772152	0.0	0.0	0.024365254	1.0	0.0	0.0	0.0	0.0	20.800001	0.0	0.0	0.0	0.233	0.0	0.0	0.0	2		0.33333334	0.0	0.0	0.0	71985.0	0.0	0.0	"CT"
8	1985	23.6	0	0	0	33.77	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.076	0.0	0.0	0.032249298	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.192	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	81985.0	0.0	0.0	"DE"
9	1985	27.7	0	1	0.008159000000000001	60.0	0.0	0.0	0.0	1	1	0	0.0	0.0	0.0		1.0	0.0	0.007417103	0.07984293	1.0	0.0	0.057194754	1.0	0.0	0.0	0.0	0.0	28.800001	0.0	0.0	0.0	0.255	0.0	0.0	0.0	2	1.0	0.0	0.0	0.0	0.0	91985.0	0.0	0.0	"FL"
10	1985	29.6	0	0	0.04104	34.39	0.0	0.0	0.0	0	0	0	0.2	0.0	0.0	0.0	0.0	0.0	0.0065502184	0.049126636	1.0	0.0	0.03787108	1.0	0.0	0.0	0.0	0.0	11.5199995	0.0	0.0	0.0	0.133	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	101985.0	0.0	0.0	"GA"
11	1985	25.0	0	1	0	78.38	0.0	0.34019583	0.34019583	0	0	0				0.0	0.0	0.0	0.02745098	0.043137256	1.0	0.0	0.036776166	0.0	0.0	0.0	0.34019583	0.34019583	24.960001	8.491288	8.491288	0.0	0.276	0.09389405	0.09389405	0.0	2	0.0		0.34019583	8.491288	0.34019583	111985.0	0.09389405	0.0	"HI"
12	1985	23.9	0	2	0	20.17	0.0	0.0	0.0	0	1	0	0.6666667	0.5	0.0	0.0	1.0	0.0	0.014285714	0.11785714	0.0	0.0	0.035013795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.0	2	1.0	0.5	0.0	0.0	0.0	121985.0	0.0	0.0	"ID"
13	1985	26.7	0	0	0	41.71	0.010696877	0.011724259	0.0	0	0	0	0.4	0.2	0.0	0.0	0.0	0.0	0.0023685456	0.06631928	0.0	0.0	0.029090948	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.60966146	0.5562376	0.302	0.0	0.003540726	0.0032304567	2	0.0	0.2	0.011724259	0.60966146	0.0	131985.0	0.003540726	0.0	"IL"
14	1985	32.2	0	2	0.00728	9.71	0.0	0.011454545	0.011454545	0	0	0	0.25	0.25	0.0	0.0	0.0	0.0	0.02	0.052	0.0	1.0	0.027567137	1.0	0.0	0.0	0.02290909	0.02290909	18.560001	0.21259637	0.21259637	0.0	0.139	0.0015921817	0.0015921817	0.0	2	0.0	0.25	0.011454545	0.21259637	0.02290909	141985.0	0.0015921817	0.0	"IN"
15	1985	22.6	0	0	0	58.11	0.0	0.021526828	0.0	1	0	0	0.5	0.5	0.0		0.0	0.0	0.009966778	0.09800664	0.0	0.0	0.0135979215	0.0	0.0	0.0	0.0	0.0	23.36	0.0	0.50286674	0.0	0.225	0.0	0.0048435363	0.0	2	0.0	0.5	0.021526828	0.50286674	0.0	151985.0	0.0048435363	0.0	"IA"
16	1985	23.0	0	0	0	34.65	0.0	0.09388418	0.09388418	0	0	0	0.25	0.25	0.0	0.0	0.0	0.0	0.011363637	0.06818182	0.0	0.0	0.017781269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.014270394	0.014270394	0.0	2	0.0	0.25	0.09388418	0.0	0.0	161985.0	0.014270394	0.0	"KS"
17	1985	29.5	0	2	0.2142045	62.5	0.0	0.0	0.0	0	0	0	0.14285715	0.0	0.0	0.0	0.0	0.0	0.010920437	0.054602183	1.0	0.0	0.027085256	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	171985.0	0.0	0.0	"KY"
18	1985	25.6	0	0	0	51.5	0.0	0.0	0.0	0	0	0	0.0	0.0	0.33333334	0.0	0.0	0.0	0.0123893805	0.028318584	1.0	0.0	0.025556916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	181985.0	0.0	0.0	"LA"
19	1985	27.9	0	2	0	74.18	0.0	0.0	0.0	1	0	0	1.0	0.0	0.0	1.0	0.0	0.0	0.036	0.056	1.0	0.0	0.029463226	0.0	0.0	0.0	0.0	0.0	6.4	0.0	0.0	0.0	0.161	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	191985.0	0.0	0.0	"ME"
20	1985	25.0	0	0	0.013300000000000001	77.5	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01632653	0.10612245	1.0	0.0	0.041405644	1.0	0.0	0.0	0.0	0.0	33.600002	0.0	0.0	0.0	0.204	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	201985.0	0.0	0.0	"MD"
21	1985	27.9	0	2	0.0003905	91.45	0.15006848	0.07176546	0.06224385	0	0	0	0.4	0.4	0.0	0.0	0.0	0.0	0.012567325	0.1005386	1.0	0.0	0.041729186	1.0	0.0	0.30013695	0.1244877	0.14353092	48.0	2.9877048	3.4447422	7.203287	0.614	0.038217723	0.044063993	0.092142045	2	0.0	0.4	0.07176546	3.4447422	0.14353092	211985.0	0.044063993	0.0	"MA"
22	1985	26.8	0	1	0	68.55	0.009587843	0.0	0.0	0	1	0	0.6666667	0.33333334	0.0	0.0		0.0	0.01375	0.29375	0.0	0.0	0.06523308	0.0	0.0	0.009587843	0.0	0.0	58.4	0.0	0.0	0.55993	0.653	0.0	0.0	0.0062608616	2		0.33333334	0.0	0.0	0.0	221985.0	0.0	0.0	"MI"
23	1985	29.1	0	0	0	73.8	0.04517619	0.0	0.0	1	1	0	0.75	0.5	0.0			0.0	0.01846381	0.046528805	0.0	0.0	0.017395496	0.0	0.0	0.0	0.0	0.0	35.84	0.0	0.0	1.6191146	0.199	0.0	0.0	0.0089900615	2		0.5	0.0	0.0	0.0	231985.0	0.0	0.0	"MN"
24	1985	24.8	0	0	0	45.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.015686275	0.07058824	1.0	0.0	0.030770576	0.0	0.0	0.0	0.0	0.0	12.960001	0.0	0.0	0.0	0.16	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	241985.0	0.0	0.0	"MS"
25	1985	25.7	0	2	0.002725	46.14	0.00814872	0.0	0.0	0	0	0	0.25	0.125	0.0	0.0	0.0	0.0	0.006422925	0.0993083	0.0	0.0	0.032903496	1.0	0.0	0.01629744	0.0	0.0	31.2	0.0	0.0	0.25424007	0.297	0.0	0.0	0.0024201695	2	0.0	0.125	0.0	0.0	0.0	251985.0	0.0	0.0	"MO"
26	1985	25.0	0	1	0	73.15	0.0	0.0	0.0	1	1	0	0.25	0.25	0.0			0.0	0.012135922	0.053398058	0.0	0.0	0.036442783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	2		0.25	0.0	0.0	0.0	261985.0	0.0	0.0	"MT"
27	1985	24.5	0	0	0	26.53	0.0	0.0	0.0	1	1	0	0.16666667	0.0	0.0			0.0	0.015957447	0.10372341			0.030178469	0.0	0.0	0.0	0.0	0.0	7.6800003	0.0	0.0	0.0	0.186	0.0	0.0	0.0	2		0.0	0.0	0.0	0.0	271985.0	0.0	0.0	"NE"
28	1985	30.6	0	1	0	53.46	0.0	0.0	0.0	1	0	0	0.6	0.4	0.0		0.0	0.0	0.011764706	0.05210084	0.0	0.0	0.022642946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	2	0.0	0.4	0.0	0.0	0.0	281985.0	0.0	0.0	"NV"
29	1985	27.2	0	1	0	13.5	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0		0.0	0.0	0.021052632	0.1	0.0	1.0	0.054950908	0.0	0.0	0.0	0.0	0.0	0.16000001	0.0	0.0	0.0	0.042	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	291985.0	0.0	0.0	"NH"
30	1985	22.5	0	0	0	61.83	0.0	0.0	0.0	1	1	0	0.0	0.0	0.0	1.0	1.0	0.0	0.022222223	0.24444444	0.0	0.0	0.022580598	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.255	0.0	0.0	0.0	2	1.0	0.0	0.0	0.0	0.0	301985.0	0.0	0.0	"NJ"
31	1985	26.7	0	1	0	59.62	0.0	0.0	0.0	1	0	0	0.2	0.2	0.2	1.0	0.0	0.0	0.0027347312	0.029170465	0.0	0.0	0.033754304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.0	0.0	2	0.0	0.2	0.0	0.0	0.0	311985.0	0.0	0.0	"NM"
32	1985	32.0	2	2	0	76.26	0.018227503	0.0	0.018227503	0	0	0	0.2	0.2	0.0	0.0	0.0	0.0	0.004854369	0.040453073	0.0	0.0	0.031367004	0.0	0.0	0.036455005	0.036455005	0.0	68.8	1.2540523	0.0	1.2540523	0.659	0.012011924	0.0	0.012011924	2	0.0	0.2	0.0	0.0	0.0	321985.0	0.0	0.0	"NY"
33	1985	28.4	2	1	0.27826100000000004	27.11	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.025390625	0.08984375	0.0	0.0	0.03375744	1.0	0.0	0.0	0.0	0.0	13.44	0.0	0.0	0.0	0.203	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	331985.0	0.0	0.0	"NC"
34	1985	25.5	0	0	0	63.24	0.0	0.0	0.0	1	1	1	0.6666667	0.6666667	0.0			1.0	0.024390243	0.05986696	0.0	0.0	0.022630101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	2		0.6666667	0.0	0.0	0.0	341985.0	0.0	0.0	"ND"
